order_id,order_date,product,state,city,pin_code,quantity,price,platform,latitude,longitude
ORD000001,2026-01-07,Snacks,Maharashtra,Mumbai,400050,3,129,Zepto,19.064567141530112,72.82811735698829
ORD000002,2026-01-27,Snacks,Maharashtra,Thane,400601,5,79,Swiggy Instamart,19.224776885381008,72.99333029856408
ORD000003,2026-01-09,Protein Bar,Gujarat,Surat,395003,1,129,Zepto,21.167858466252767,72.82875863043051
ORD000004,2026-06-04,Protein Bar,Delhi,New Delhi,110001,5,129,Swiggy Instamart,28.629692128155074,77.21667434729153
ORD000005,2026-04-18,Energy Drink,Delhi,New Delhi,110001,4,149,Zepto,28.60920525614065,77.21442560043586
ORD000006,2026-06-28,Shampoo,Maharashtra,Thane,400601,3,149,Zepto,19.213665823071874,72.9734427024643
ORD000007,2026-03-28,Protein Bar,Maharashtra,Pune,411001,1,249,Zepto,18.52281962271566,73.83756719755343
ORD000008,2026-03-30,Coffee,Gujarat,Ahmedabad,380001,3,49,Swiggy Instamart,23.00525082167487,72.5657771247076
ORD000009,2026-05-18,Protein Bar,Karnataka,Bengaluru,560001,4,79,Swiggy Instamart,12.961471688796657,77.59774247332595
ORD000010,2026-06-10,Coffee,Maharashtra,Nashik,422001,3,129,Swiggy Instamart,19.99681975924479,73.76557696298666
ORD000011,2026-01-12,Snacks,Maharashtra,Mumbai,400050,2,149,Zepto,19.074256487689215,72.82724223699513
ORD000012,2026-01-26,Shampoo,Maharashtra,Pune,411001,3,299,Swiggy Instamart,18.521075282046876,73.84245251813788
ORD000013,2026-02-11,Face Wash,Gujarat,Ahmedabad,380001,3,129,Swiggy Instamart,23.01705617275475,72.5725092258971
ORD000014,2026-06-29,Snacks,Maharashtra,Nashik,422001,1,99,Swiggy Instamart,19.994390064225776,73.78345698018346
ORD000015,2026-02-11,Shampoo,Maharashtra,Pune,411001,4,149,Swiggy Instamart,18.51439361310081,73.85378306250207
ORD000016,2026-02-26,Snacks,Delhi,New Delhi,110001,3,49,Zepto,28.607882933877708,77.2275227818451
ORD000017,2026-03-22,Shampoo,Maharashtra,Mumbai,400001,3,79,Zepto,19.07586502775262,72.86712289071045
ORD000018,2026-03-22,Energy Drink,Telangana,Hyderabad,500001,4,249,Swiggy Instamart,17.393225449121033,78.4744915635003
ORD000019,2026-02-06,Face Wash,Karnataka,Bengaluru,560001,2,129,Swiggy Instamart,12.973688635950047,77.5750032987612
ORD000020,2026-05-18,Face Wash,Delhi,New Delhi,110001,5,249,Swiggy Instamart,28.600618139511017,77.2109686123587
ORD000021,2026-04-03,Energy Drink,Gujarat,Surat,395003,2,299,Zepto,21.177584665799955,72.8328136828119
ORD000022,2026-01-29,Energy Drink,Maharashtra,Mumbai,400001,2,249,Swiggy Instamart,19.074843517176117,72.87468896304411
ORD000023,2026-04-09,Shampoo,Maharashtra,Mumbai,400050,5,299,Swiggy Instamart,19.044814780096324,72.82230155791605
ORD000024,2026-05-22,Protein Bar,Maharashtra,Nashik,422001,1,149,Swiggy Instamart,20.001293612290404,73.79027122226219
ORD000025,2026-01-29,Face Wash,Gujarat,Ahmedabad,380001,4,99,Blinkit,23.025936182895684,72.55376959844637
ORD000026,2026-03-09,Coffee,Maharashtra,Mumbai,400001,2,79,Swiggy Instamart,19.07924083969395,72.87384917719584
ORD000027,2026-06-13,Coffee,Maharashtra,Nashik,422001,5,129,Zepto,19.99913077999694,73.78581676288842
ORD000028,2026-02-11,Coffee,Gujarat,Ahmedabad,380001,5,49,Swiggy Instamart,23.03280999522496,72.58071280119115
ORD000029,2026-05-06,Protein Bar,Gujarat,Ahmedabad,380001,1,199,Blinkit,23.014107824767773,72.56830787624149
ORD000030,2026-01-15,Energy Drink,Maharashtra,Pune,411001,5,79,Zepto,18.523712634314034,73.86645545127122
ORD000031,2026-01-18,Coffee,Karnataka,Bengaluru,560001,2,99,Swiggy Instamart,12.966808257621548,77.59274341023337
ORD000032,2026-05-21,Energy Drink,Karnataka,Bengaluru,560001,3,249,Zepto,12.96053665025994,77.58263793375919
ORD000033,2026-06-26,Energy Drink,Delhi,New Delhi,110001,3,249,Swiggy Instamart,28.622025258223943,77.22256240028571
ORD000034,2026-04-23,Coffee,Gujarat,Ahmedabad,380001,4,79,Zepto,23.021779898784196,72.58143532897891
ORD000035,2026-01-17,Face Wash,Maharashtra,Pune,411001,1,129,Swiggy Instamart,18.524016360250474,73.85024880245395
ORD000036,2026-01-02,Protein Bar,Maharashtra,Pune,411001,1,129,Zepto,18.524013956055082,73.87208036566466
ORD000037,2026-03-26,Protein Bar,Maharashtra,Mumbai,400001,5,129,Blinkit,19.0756417396089,72.89334643655815
ORD000038,2026-02-24,Coffee,Karnataka,Bengaluru,560001,2,299,Zepto,12.945402548959104,77.60281902504376
ORD000039,2026-04-15,Energy Drink,Karnataka,Bengaluru,560001,1,79,Swiggy Instamart,12.972470470682381,77.59160992649534
ORD000040,2026-04-01,Shampoo,Gujarat,Surat,395003,4,299,Swiggy Instamart,21.171117607765357,72.811224310854
ORD000041,2026-06-22,Snacks,Maharashtra,Mumbai,400001,1,49,Blinkit,19.073803281121627,72.88127112571512
ORD000042,2026-01-28,Energy Drink,Gujarat,Ahmedabad,380001,2,129,Swiggy Instamart,23.037278940447415,72.56621729781726
ORD000043,2026-02-05,Shampoo,Karnataka,Bengaluru,560001,2,149,Blinkit,12.96351506397107,77.58958242956416
ORD000044,2026-01-20,Shampoo,Maharashtra,Pune,411001,5,79,Zepto,18.52955402117702,73.8599875110966
ORD000045,2026-01-04,Protein Bar,Delhi,New Delhi,110001,2,99,Blinkit,28.60860239796233,77.21413267433114
ORD000046,2026-05-04,Energy Drink,Karnataka,Bengaluru,560001,4,49,Zepto,12.97257077549348,77.60428644990533
ORD000047,2026-01-01,Shampoo,Gujarat,Surat,395003,3,299,Blinkit,21.163179469061227,72.82782337853403
ORD000048,2026-06-28,Snacks,Gujarat,Surat,395003,5,299,Zepto,21.16627891846868,72.81646485051868
ORD000049,2026-03-17,Energy Drink,Maharashtra,Pune,411001,1,49,Swiggy Instamart,18.523361202770644,73.85931055272181
ORD000050,2026-01-15,Protein Bar,Gujarat,Ahmedabad,380001,5,299,Swiggy Instamart,23.022551134566424,72.56905412866625
ORD000051,2026-02-10,Protein Bar,Delhi,New Delhi,110001,5,79,Zepto,28.599746292579496,77.20479354677235
ORD000052,2026-06-02,Protein Bar,Maharashtra,Mumbai,400050,2,249,Zepto,19.05617285483473,72.82147722730778
ORD000053,2026-03-05,Coffee,Telangana,Hyderabad,500001,5,49,Swiggy Instamart,17.38338714288334,78.49074050856814
ORD000054,2026-04-18,Snacks,Maharashtra,Mumbai,400050,5,199,Blinkit,19.078461859012105,72.83124577812832
ORD000055,2026-06-21,Snacks,Maharashtra,Pune,411001,3,129,Blinkit,18.522975503907226,73.85595554084234
ORD000056,2026-02-03,Snacks,Gujarat,Surat,395003,3,299,Blinkit,21.15101228784701,72.83083486124552
ORD000057,2026-01-03,Shampoo,Maharashtra,Mumbai,400050,5,79,Zepto,19.06020230209941,72.85413242112485
ORD000058,2026-02-24,Coffee,Delhi,New Delhi,110001,3,99,Blinkit,28.61197639035219,77.21201547342334
ORD000059,2026-03-04,Face Wash,Maharashtra,Mumbai,400050,3,99,Blinkit,19.059252882302946,72.8178132196238
ORD000060,2026-03-19,Coffee,Delhi,New Delhi,110001,5,49,Swiggy Instamart,28.62532822814515,77.21651933032688
ORD000061,2026-03-18,Snacks,Delhi,New Delhi,110001,1,99,Blinkit,28.62181031947043,77.19990612545206
ORD000062,2026-01-28,Snacks,Maharashtra,Mumbai,400050,5,99,Blinkit,19.07362794310936,72.81548148937208
ORD000063,2026-06-04,Energy Drink,Maharashtra,Nashik,422001,3,129,Swiggy Instamart,20.011768570938003,73.8016045562581
ORD000064,2026-05-10,Shampoo,Maharashtra,Nashik,422001,3,49,Zepto,19.995994636748694,73.77403702270398
ORD000065,2026-03-12,Protein Bar,Gujarat,Surat,395003,1,199,Zepto,21.171196513650877,72.82606524345884
ORD000066,2026-02-11,Snacks,Maharashtra,Nashik,422001,4,249,Swiggy Instamart,19.99039336568934,73.78038562974807
ORD000067,2026-01-29,Protein Bar,Maharashtra,Mumbai,400001,2,49,Blinkit,19.06537696286274,72.88243592430635
